,Tanggal,Keterangan,Harga
3554,07/10/2015,GOLD,Rp 537.000
3555,06/10/2015,BUYBACK,Rp 510.000
3556,06/10/2015,GOLD,Rp 541.000
3557,05/10/2015,BUYBACK,Rp 510.000
3558,05/10/2015,GOLD,Rp 541.000
3559,02/10/2015,BUYBACK,Rp 507.000
3560,02/10/2015,GOLD,Rp 534.000
3561,01/10/2015,BUYBACK,Rp 500.000
3562,01/10/2015,GOLD,Rp 536.000
3563,30/09/2015,BUYBACK,Rp 504.000
3564,30/09/2015,GOLD,Rp 540.000
3565,29/09/2015,BUYBACK,Rp 505.000
3566,29/09/2015,GOLD,Rp 539.000
3567,28/09/2015,BUYBACK,Rp 510.000
3568,28/09/2015,GOLD,Rp 546.000
3569,25/09/2015,BUYBACK,Rp 508.000
3570,25/09/2015,GOLD,Rp 546.000
3571,23/09/2015,BUYBACK,Rp 501.000
3572,23/09/2015,GOLD,Rp 529.000
3573,22/09/2015,BUYBACK,Rp 503.000
3574,22/09/2015,GOLD,Rp 531.600
3575,21/09/2015,BUYBACK,Rp 505.000
3576,21/09/2015,GOLD,Rp 533.000
3577,18/09/2015,BUYBACK,Rp 503.000
3578,18/09/2015,GOLD,Rp 530.000
3579,17/09/2015,BUYBACK,Rp 502.000
3580,17/09/2015,GOLD,Rp 525.000
3581,16/09/2015,BUYBACK,Rp 500.000
3582,16/09/2015,GOLD,Rp 519.000
3583,15/09/2015,BUYBACK,Rp 499.000
3584,15/09/2015,GOLD,Rp 519.000
3585,14/09/2015,BUYBACK,Rp 497.000
3586,14/09/2015,GOLD,Rp 517.000
3587,11/09/2015,BUYBACK,Rp 499.000
3588,11/09/2015,GOLD,Rp 520.000
3589,09/09/2015,BUYBACK,Rp 502.000
3590,09/09/2015,GOLD,Rp 521.000
3591,08/09/2015,BUYBACK,Rp 500.000
3592,08/09/2015,GOLD,Rp 519.000
3593,07/09/2015,BUYBACK,Rp 498.000
3594,07/09/2015,GOLD,Rp 517.000
3595,04/09/2015,BUYBACK,Rp 498.000
3596,04/09/2015,GOLD,Rp 518.000
3597,03/09/2015,BUYBACK,Rp 500.000
3598,03/09/2015,GOLD,Rp 520.000
3599,02/09/2015,BUYBACK,Rp 500.000
3600,02/09/2015,GOLD,Rp 520.000
3601,01/09/2015,BUYBACK,Rp 497.000
3602,01/09/2015,GOLD,Rp 518.000
3603,31/08/2015,BUYBACK,Rp 496.000
3604,31/08/2015,GOLD,Rp 517.000
3605,28/08/2015,BUYBACK,Rp 496.000
3606,28/08/2015,GOLD,Rp 518.000
3607,27/08/2015,BUYBACK,Rp 495.000
3608,27/08/2015,GOLD,Rp 518.000
3609,26/08/2015,BUYBACK,Rp 496.000
3610,26/08/2015,GOLD,Rp 523.000
3611,25/08/2015,BUYBACK,Rp 496.000
3612,25/08/2015,GOLD,Rp 524.000
3613,24/08/2015,BUYBACK,Rp 495.000
3614,24/08/2015,GOLD,Rp 523.000
3615,21/08/2015,BUYBACK,Rp 492.000
3616,21/08/2015,GOLD,Rp 520.000
3617,20/08/2015,BUYBACK,Rp 482.000
3618,20/08/2015,GOLD,Rp 512.000
3619,19/08/2015,BUYBACK,Rp 478.000
3620,19/08/2015,GOLD,Rp 508.000
3621,18/08/2015,BUYBACK,Rp 477.000
3622,18/08/2015,GOLD,Rp 507.000
3623,13/08/2015,BUYBACK,Rp 476.000
3624,13/08/2015,GOLD,Rp 508.000
3625,12/08/2015,BUYBACK,Rp 471.000
3626,12/08/2015,GOLD,Rp 507.000
3627,11/08/2015,BUYBACK,Rp 470.000
3628,11/08/2015,GOLD,Rp 506.000
3629,10/08/2015,BUYBACK,Rp 468.000
3630,10/08/2015,GOLD,Rp 506.000
3631,07/08/2015,BUYBACK,Rp 467.000
3632,07/08/2015,GOLD,Rp 506.000
3633,06/08/2015,BUYBACK,Rp 468.000
3634,06/08/2015,GOLD,Rp 507.000
3635,05/08/2015,BUYBACK,Rp 468.000
3636,05/08/2015,GOLD,Rp 507.000
3637,04/08/2015,BUYBACK,Rp 470.000
3638,04/08/2015,GOLD,Rp 507.000
3639,03/08/2015,BUYBACK,Rp 471.000
3640,03/08/2015,GOLD,Rp 507.000
3641,31/07/2015,BUYBACK,Rp 470.000
3642,31/07/2015,GOLD,Rp 507.000
3643,30/07/2015,BUYBACK,Rp 469.000
3644,30/07/2015,GOLD,Rp 507.000
3645,29/07/2015,BUYBACK,Rp 468.000
3646,29/07/2015,GOLD,Rp 507.000
3647,28/07/2015,BUYBACK,Rp 470.000
3648,28/07/2015,GOLD,Rp 507.000
3649,27/07/2015,BUYBACK,Rp 469.000
3650,27/07/2015,GOLD,Rp 507.000
3651,24/07/2015,BUYBACK,Rp 468.000
3652,24/07/2015,GOLD,Rp 507.000
3653,23/07/2015,BUYBACK,Rp 468.000
3654,23/07/2015,GOLD,Rp 507.000
3655,22/07/2015,BUYBACK,Rp 469.000
3656,22/07/2015,GOLD,Rp 507.000
3657,15/07/2015,BUYBACK,Rp 491.000
3658,15/07/2015,GOLD,Rp 510.000
3659,14/07/2015,BUYBACK,Rp 491.000
3660,14/07/2015,GOLD,Rp 510.000
3661,13/07/2015,BUYBACK,Rp 493.000
3662,13/07/2015,GOLD,Rp 511.000
3663,10/07/2015,BUYBACK,Rp 494.000
3664,10/07/2015,GOLD,Rp 511.000
3665,09/07/2015,BUYBACK,Rp 493.000
3666,09/07/2015,GOLD,Rp 510.000
3667,08/07/2015,BUYBACK,Rp 490.000
3668,08/07/2015,GOLD,Rp 510.000
3669,07/07/2015,BUYBACK,Rp 496.000
3670,07/07/2015,GOLD,Rp 510.000
3671,06/07/2015,BUYBACK,Rp 495.000
3672,06/07/2015,GOLD,Rp 510.000
3673,03/07/2015,BUYBACK,Rp 493.000
3674,03/07/2015,GOLD,Rp 509.000
3675,02/07/2015,BUYBACK,Rp 493.000
3676,02/07/2015,GOLD,Rp 510.000
3677,01/07/2015,BUYBACK,Rp 495.000
3678,01/07/2015,GOLD,Rp 512.000
3679,30/06/2015,BUYBACK,Rp 496.000
3680,30/06/2015,GOLD,Rp 514.000
3681,29/06/2015,BUYBACK,Rp 497.000
3682,29/06/2015,GOLD,Rp 515.000
3683,26/06/2015,BUYBACK,Rp 495.000
3684,26/06/2015,GOLD,Rp 512.000
3685,25/06/2015,BUYBACK,Rp 493.000
