,Tanggal,Keterangan,Harga
1219,09/05/2020,GOLD,Rp 911.000
1220,08/05/2020,BUYBACK,Rp 819.000
1221,08/05/2020,GOLD,Rp 918.000
1222,06/05/2020,BUYBACK,Rp 813.000
1223,06/05/2020,GOLD,Rp 913.000
1224,05/05/2020,BUYBACK,Rp 812.000
1225,05/05/2020,GOLD,Rp 913.000
1226,04/05/2020,BUYBACK,Rp 813.000
1227,04/05/2020,GOLD,Rp 914.000
1228,02/05/2020,BUYBACK,Rp 817.000
1229,02/05/2020,GOLD,Rp 916.000
1230,30/04/2020,BUYBACK,Rp 829.000
1231,30/04/2020,GOLD,Rp 928.000
1232,29/04/2020,BUYBACK,Rp 829.000
1233,29/04/2020,GOLD,Rp 928.000
1234,28/04/2020,BUYBACK,Rp 834.000
1235,28/04/2020,GOLD,Rp 935.000
1236,27/04/2020,BUYBACK,Rp 838.000
1237,27/04/2020,GOLD,Rp 939.000
1238,25/04/2020,BUYBACK,Rp 842.000
1239,25/04/2020,GOLD,Rp 943.000
1240,24/04/2020,BUYBACK,Rp 843.000
1241,24/04/2020,GOLD,Rp 944.000
1242,23/04/2020,BUYBACK,Rp 833.000
1243,23/04/2020,GOLD,Rp 934.000
1244,22/04/2020,BUYBACK,Rp 827.000
1245,22/04/2020,GOLD,Rp 928.000
1246,21/04/2020,BUYBACK,Rp 823.000
1247,21/04/2020,GOLD,Rp 924.000
1248,20/04/2020,BUYBACK,Rp 816.000
1249,20/04/2020,GOLD,Rp 917.000
1250,18/04/2020,BUYBACK,Rp 825.000
1251,18/04/2020,GOLD,Rp 927.000
1252,17/04/2020,BUYBACK,Rp 840.000
1253,17/04/2020,GOLD,Rp 942.000
1254,16/04/2020,BUYBACK,Rp 837.000
1255,16/04/2020,GOLD,Rp 939.000
1256,15/04/2020,BUYBACK,Rp 840.000
1257,15/04/2020,GOLD,Rp 943.000
1258,14/04/2020,BUYBACK,Rp 844.000
1259,14/04/2020,GOLD,Rp 948.000
1260,13/04/2020,BUYBACK,Rp 848.000
1261,13/04/2020,GOLD,Rp 952.000
1262,11/04/2020,BUYBACK,Rp 846.000
1263,11/04/2020,GOLD,Rp 951.000
1264,09/04/2020,BUYBACK,Rp 836.000
1265,09/04/2020,GOLD,Rp 938.000
1266,08/04/2020,BUYBACK,Rp 845.000
1267,08/04/2020,GOLD,Rp 946.000
1268,07/04/2020,BUYBACK,Rp 862.000
1269,07/04/2020,GOLD,Rp 963.000
1270,06/04/2020,BUYBACK,Rp 832.000
1271,06/04/2020,GOLD,Rp 931.000
1272,04/04/2020,BUYBACK,Rp 835.000
1273,04/04/2020,GOLD,Rp 934.000
1274,03/04/2020,BUYBACK,Rp 845.000
1275,03/04/2020,GOLD,Rp 944.000
1276,02/04/2020,BUYBACK,Rp 822.000
1277,02/04/2020,GOLD,Rp 918.000
1278,01/04/2020,BUYBACK,Rp 818.000
1279,01/04/2020,GOLD,Rp 911.000
1280,31/03/2020,BUYBACK,Rp 832.000
1281,31/03/2020,GOLD,Rp 924.000
1282,30/03/2020,BUYBACK,Rp 835.000
1283,30/03/2020,GOLD,Rp 926.000
1284,27/03/2020,BUYBACK,Rp 835.000
1285,27/03/2020,GOLD,Rp 924.000
1286,26/03/2020,BUYBACK,Rp 837.000
1287,26/03/2020,GOLD,Rp 924.000
1288,24/03/2020,BUYBACK,Rp 836.000
1289,24/03/2020,GOLD,Rp 919.000
1290,23/03/2020,BUYBACK,Rp 780.000
1291,23/03/2020,GOLD,Rp 861.000
1292,23/03/2020,BUYBACK,Rp 810.000
1293,23/03/2020,GOLD,Rp 891.000
1294,22/03/2020,BUYBACK,Rp 791.000
1295,22/03/2020,GOLD,Rp 870.000
1296,21/03/2020,BUYBACK,Rp 791.000
1297,21/03/2020,GOLD,Rp 870.000
1298,20/03/2020,BUYBACK,Rp 743.000
1299,20/03/2020,GOLD,Rp 824.000
1300,19/03/2020,BUYBACK,Rp 732.000
1301,19/03/2020,GOLD,Rp 814.000
1302,18/03/2020,BUYBACK,Rp 745.000
1303,18/03/2020,GOLD,Rp 826.000
1304,17/03/2020,BUYBACK,Rp 719.000
1305,17/03/2020,GOLD,Rp 801.000
1306,16/03/2020,BUYBACK,Rp 741.000
1307,16/03/2020,GOLD,Rp 819.000
1308,14/03/2020,BUYBACK,Rp 730.000
1309,14/03/2020,GOLD,Rp 809.000
1310,13/03/2020,BUYBACK,Rp 734.000
1311,13/03/2020,GOLD,Rp 812.000
1312,12/03/2020,BUYBACK,Rp 756.000
1313,12/03/2020,GOLD,Rp 831.000
1314,11/03/2020,BUYBACK,Rp 764.000
1315,11/03/2020,GOLD,Rp 839.000
1316,10/03/2020,BUYBACK,Rp 767.000
1317,10/03/2020,GOLD,Rp 842.000
1318,09/03/2020,BUYBACK,Rp 776.000
1319,09/03/2020,GOLD,Rp 851.000
1320,07/03/2020,BUYBACK,Rp 765.000
1321,07/03/2020,GOLD,Rp 842.000
1322,06/03/2020,BUYBACK,Rp 760.000
1323,06/03/2020,GOLD,Rp 837.000
1324,05/03/2020,BUYBACK,Rp 744.000
1325,05/03/2020,GOLD,Rp 822.000
1326,04/03/2020,BUYBACK,Rp 749.000
1327,04/03/2020,GOLD,Rp 827.000
1328,03/03/2020,BUYBACK,Rp 737.000
1329,03/03/2020,GOLD,Rp 815.000
1330,02/03/2020,BUYBACK,Rp 732.000
1331,02/03/2020,GOLD,Rp 810.000
1332,29/02/2020,BUYBACK,Rp 728.000
1333,29/02/2020,GOLD,Rp 806.000
1334,28/02/2020,BUYBACK,Rp 738.000
1335,28/02/2020,GOLD,Rp 816.000
1336,27/02/2020,BUYBACK,Rp 735.000
1337,27/02/2020,GOLD,Rp 813.000
1338,26/02/2020,BUYBACK,Rp 730.000
1339,26/02/2020,GOLD,Rp 808.000
1340,25/02/2020,BUYBACK,Rp 731.000
1341,25/02/2020,GOLD,Rp 809.000
1342,24/02/2020,BUYBACK,Rp 731.000
1343,24/02/2020,GOLD,Rp 809.000
1344,24/02/2020,BUYBACK,Rp 741.000
1345,24/02/2020,GOLD,Rp 819.000
1346,22/02/2020,BUYBACK,Rp 725.000
1347,22/02/2020,GOLD,Rp 804.000
1348,21/02/2020,BUYBACK,Rp 714.000
1349,21/02/2020,GOLD,Rp 793.000
1350,20/02/2020,BUYBACK,Rp 708.000
1351,20/02/2020,GOLD,Rp 788.000
1352,19/02/2020,BUYBACK,Rp 702.000
1353,19/02/2020,GOLD,Rp 783.000
1354,18/02/2020,BUYBACK,Rp 697.000
1355,18/02/2020,GOLD,Rp 779.000
1356,17/02/2020,BUYBACK,Rp 696.000
1357,17/02/2020,GOLD,Rp 779.000
1358,15/02/2020,BUYBACK,Rp 697.000
1359,15/02/2020,GOLD,Rp 780.000
1360,14/02/2020,BUYBACK,Rp 692.000
1361,14/02/2020,GOLD,Rp 777.000
